source_account,target_account,status,source_usage,account_role,dq_flag,pair_id,local_amount_expected,notes
6300,X.B,mapped,live,,,,true,
6400,X.B,mapped,live,,,,true,
6500,X.B,mapped,live,,,,true,
6600,X.B,mapped,live,,,,true,
6700,X.B,mapped,live,,,,true,
6800,X.B,mapped,live,,,,true,
6850,X.B,mapped,live,,,,true,
6900,X.B,mapped,live,,,,true,
6950,X.A,mapped,live,,,,true,
7100,X.D,mapped,live,,,,true,
7200,X.B,mapped,live,,,,true,
7400,X.G,mapped,live,,,,true,
7500,X.G,mapped,live,,,,true,
7510,X.G,mapped,live,,,,true,
7900,X.G,mapped,live,,,,true,
8000,X.F,mapped,live,,,,true,
9000,9000,mapped,live,clearing,,,true,
9100,9100,mapped,live,clearing,,,true,
9200,A.A,mapped,live,,,,true,
9300,9300,mapped,live,clearing,,,true,
100000,A.A,mapped,live,,,,true,
100010,A.A,mapped,live,,,,true,
100020,A.A,mapped,live,,,,true,
100030,A.A,mapped,live,,,,true,
100040,A.A,mapped,live,,,,true,
100050,A.A,mapped,live,,,,true,
100060,A.A,mapped,live,,,,true,
100070,A.A,mapped,live,,,,true,
100080,A.A,mapped,live,,,,true,
100090,A.A,mapped,live,,,,true,
100100,A.A,mapped,live,,,,true,
100110,A.A,mapped,live,,,,true,
100120,A.B,mapped,live,,,,true,
100130,A.B,mapped,live,,,,true,
100140,A.B,mapped,live,,,,true,
100150,A.B,mapped,live,,,,true,
100160,A.B,mapped,live,,,,true,
100170,A.B,mapped,live,,,,true,
100180,A.B,mapped,live,,,,true,
100190,A.B,mapped,live,,,,true,
100200,A.B,mapped,live,,,,true,
100210,A.B,mapped,live,,,,true,
100220,A.B,mapped,live,,,,true,
100230,A.B,mapped,live,,,,true,
100240,A.B,mapped,live,,,,true,
100250,A.B,mapped,live,,,,true,
100260,A.B,mapped,live,,,,true,
100270,A.B,mapped,live,,,,true,
100280,A.C,mapped,live,,,,true,
100290,A.C,mapped,live,,,,true,
100300,A.C,mapped,live,,,,true,
100310,A.C,mapped,live,,,,true,
100320,A.C,mapped,live,,,,true,
100330,A.C,mapped,live,,,,true,
100340,A.C,mapped,live,,,,true,
100350,A.C,mapped,live,,,,true,
100360,A.C,mapped,live,,,,true,
100370,A.C,mapped,live,,,,true,
100380,A.C,mapped,live,,,,true,
100390,A.C,mapped,live,,,,true,
100400,A.D,mapped,live,,,,true,
100410,A.D,mapped,live,,,,true,
100420,A.D,mapped,live,,,,true,
100430,A.D,mapped,live,,,,true,
100440,A.D,mapped,live,,,,true,
100450,A.D,mapped,live,,,,true,
100460,A.D,mapped,live,,,,true,
100470,A.D,mapped,live,,,,true,
100480,A.F,mapped,live,,,,true,
100490,A.F,mapped,live,,,,true,
100500,A.F,mapped,live,,,,true,
100510,A.F,mapped,live,,,,true,
100520,A.F,mapped,live,,,,true,
100530,A.F,mapped,live,,,,true,
100540,A.F,mapped,live,,,,true,
100550,A.F,mapped,live,,,,true,
100560,A.F,mapped,live,,,,true,
100570,A.F,mapped,live,,,,true,
100580,A.F,mapped,live,,,,true,
100590,A.F,mapped,live,,,,true,
100600,A.F,mapped,live,,,,true,
100610,A.F,mapped,live,,,,true,
100620,A.F,mapped,live,,,,true,
100630,A.F,mapped,live,,,,true,
100640,A.F,mapped,live,,,,true,
100650,A.F,mapped,live,,,,true,
100660,A.F,mapped,live,,,,true,
100670,A.F,mapped,live,,,,true,
100680,A.F,mapped,live,,,,true,
100690,A.F,mapped,live,,,,true,
100700,A.F,mapped,live,,,,true,
100710,A.F,mapped,live,,,,true,
100720,A.F,mapped,live,,,,true,
100730,A.F,mapped,live,,,,true,
100740,A.F,mapped,live,,,,true,
100750,A.F,mapped,live,,,,true,
100760,A.H,mapped,live,,,,true,
100770,A.H,mapped,live,,,,true,
100780,A.H,mapped,live,,,,true,
100790,A.H,mapped,live,,,,true,
115010,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115010_205010,false,"appears in companies 2000/2100/3000, not company 1000 - outside this pipeline's scope"
115020,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115020_205020,false,
115021,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115021_205021,false,
115030,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115030_205030,false,
199000,199000,mapped,live,clearing,,,true,
199100,L.B,mapped,live,,,,true,
199200,A.A,mapped,live,,,,true,
199300,199300,mapped,live,clearing,,,true,
199999,199999,catch_all,live,,,,true,
200000,L.A,mapped,live,,,,true,
200010,L.A,mapped,live,,,,true,
200020,L.A,mapped,live,,,,true,
200030,L.A,mapped,live,,,,true,
200040,L.A,mapped,live,,,,true,
200050,L.A,mapped,live,,,,true,
200060,L.A,mapped,live,,,,true,
200070,L.A,mapped,live,,,,true,
200080,L.A,mapped,live,,,,true,
200090,L.A,mapped,live,,,,true,
200100,L.A,mapped,live,,,,true,
200110,L.A,mapped,live,,,,true,
200120,L.A,mapped,live,,,,true,
200130,L.A,mapped,live,,,,true,
200140,L.A,mapped,live,,,,true,
200150,L.A,mapped,live,,,,true,
200160,L.A,mapped,live,,,,true,
200170,L.B,mapped,live,,,,true,
200180,L.B,mapped,live,,,,true,
200190,L.B,mapped,live,,,,true,
200200,L.B,mapped,live,,,,true,
200210,L.B,mapped,live,,,,true,
200220,L.B,mapped,live,,,,true,
200230,L.B,mapped,live,,,,true,
200240,L.B,mapped,live,,,,true,
200250,L.B,mapped,live,,,,true,
200260,L.B,mapped,live,,,,true,
200270,L.B,mapped,live,,,,true,
200280,L.B,mapped,live,,,,true,
200290,L.B,mapped,live,,,,true,
200300,L.C,mapped,live,,,,true,
200310,L.C,mapped,live,,,,true,
200320,L.C,mapped,live,,,,true,
200330,L.C,mapped,live,,,,true,
200340,L.C,mapped,live,,,,true,
200350,L.C,mapped,live,,,,true,
200360,L.C,mapped,live,,,,true,
200370,L.C,mapped,live,,,,true,
200380,L.C,mapped,live,,,,true,
200390,L.C,mapped,live,,,,true,
200400,L.E,mapped,live,,,,true,
200410,L.E,mapped,live,,,,true,
200420,L.E,mapped,live,,,,true,
200430,L.E,mapped,live,,,,true,
200440,L.E,mapped,live,,,,true,
200450,L.E,mapped,live,,,,true,
200460,L.E,mapped,live,,,,true,
200470,L.E,mapped,live,,,,true,
200480,L.E,mapped,live,,,,true,
200490,L.E,mapped,live,,,,true,
200500,L.B,mapped,live,,,,true,
200510,L.B,mapped,live,,,,true,
200520,L.B,mapped,live,,,,true,
200530,L.B,mapped,live,,,,true,
200540,L.B,mapped,live,,,,true,
200550,L.B,mapped,live,,,,true,
200560,L.B,mapped,live,,,,true,
200570,L.B,mapped,live,,,,true,
200580,L.B,mapped,live,,,,true,
200590,L.B,mapped,live,,,,true,
200600,L.D,mapped,live,,,,true,
200610,L.D,mapped,live,,,,true,
200620,L.D,mapped,live,,,,true,
200630,L.D,mapped,live,,,,true,
200640,L.D,mapped,live,,,,true,
200650,L.D,mapped,live,,,,true,
200660,L.D,mapped,live,,,,true,
205010,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115010_205010,false,"appears in companies 2000/2100/3000, not company 1000 - outside this pipeline's scope"
205020,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115020_205020,false,
205021,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115021_205021,false,
205030,,unmapped,live,clearing_pair,local_amount_zero_but_dr_cr_nonzero,115030_205030,false,
299999,L.F,mapped,live,,,,true,
300000,E.A,mapped,live,,,,true,
300010,E.A,mapped,live,,,,true,
300020,E.A,mapped,live,,,,true,
300030,E.A,mapped,live,,,,true,
300040,E.A,mapped,live,,,,true,
300050,E.A,mapped,live,,,,true,
300060,E.A,mapped,live,,,,true,
300070,E.A,mapped,live,,,,true,
300080,E.B,mapped,live,,,,true,
300090,E.B,mapped,live,,,,true,
300100,E.B,mapped,live,,,,true,
300110,E.B,mapped,live,,,,true,
300120,E.B,mapped,live,,,,true,
300130,E.B,mapped,live,,,,true,
300140,E.B,mapped,live,,,,true,
300150,E.B,mapped,live,,,,true,
300160,E.B,mapped,live,,,,true,
300170,E.B,mapped,live,,,,true,
300180,E.B,mapped,live,,,,true,
300190,E.B,mapped,live,,,,true,
300200,E.A,mapped,live,,,,true,
300210,E.A,mapped,live,,,,true,
300220,E.A,mapped,live,,,,true,
300230,E.A,mapped,live,,,,true,
300240,E.A,mapped,live,,,,true,
300250,E.A,mapped,live,,,,true,
300260,E.A,mapped,live,,,,true,
300270,E.A,mapped,live,,,,true,
300280,E.C,mapped,live,,,,true,
300290,E.C,mapped,live,,,,true,
300300,E.C,mapped,live,,,,true,
300310,E.C,mapped,live,,,,true,
300320,E.C,mapped,live,,,,true,
300330,E.C,mapped,live,,,,true,
300340,E.C,mapped,live,,,,true,
300350,E.C,mapped,live,,,,true,
300360,E.C,mapped,live,,,,true,
300370,E.C,mapped,live,,,,true,
300380,E.C,mapped,live,,,,true,
300390,E.C,mapped,live,,,,true,
399999,E.C,mapped,live,,,,true,
400000,R.A,mapped,live,,,,true,
400010,R.A,mapped,live,,,,true,
400020,R.A,mapped,live,,,,true,
400030,R.A,mapped,live,,,,true,
400040,R.A,mapped,live,,,,true,
400050,R.A,mapped,live,,,,true,
400060,R.A,mapped,live,,,,true,
400070,R.A,mapped,live,,,,true,
400080,R.A,mapped,live,,,,true,
400090,R.A,mapped,live,,,,true,
400100,R.A,mapped,live,,,,true,
400110,R.A,mapped,live,,,,true,
400120,R.A,mapped,live,,,,true,
400130,R.A,mapped,live,,,,true,
400140,R.A,mapped,live,,,,true,
400150,R.A,mapped,live,,,,true,
400160,R.A,mapped,live,,,,true,
400170,R.A,mapped,live,,,,true,
400180,R.A,mapped,live,,,,true,
400190,R.A,mapped,live,,,,true,
400200,R.A,mapped,live,,,,true,
400210,R.A,mapped,live,,,,true,
400220,R.A,mapped,live,,,,true,
400230,R.A,mapped,live,,,,true,
400240,R.A,mapped,live,,,,true,
400250,R.A,mapped,live,,,,true,
400260,R.A,mapped,live,,,,true,
400270,R.A,mapped,live,,,,true,
400280,R.A,mapped,live,,,,true,
400290,R.A,mapped,live,,,,true,
400300,R.A,mapped,live,,,,true,
400310,R.A,mapped,live,,,,true,
400320,R.A,mapped,live,,,,true,
400330,R.A,mapped,live,,,,true,
400340,R.A,mapped,live,,,,true,
400350,R.A,mapped,live,,,,true,
400360,R.A,mapped,live,,,,true,
400370,R.A,mapped,live,,,,true,
400380,R.A,mapped,live,,,,true,
400390,R.A,mapped,live,,,,true,
400400,R.A,mapped,live,,,,true,
400410,R.A,mapped,live,,,,true,
400420,R.A,mapped,live,,,,true,
400430,R.A,mapped,live,,,,true,
400440,R.A,mapped,live,,,,true,
400450,R.A,mapped,live,,,,true,
400460,R.A,mapped,live,,,,true,
400470,R.A,mapped,live,,,,true,
400480,R.A,mapped,live,,,,true,
400490,R.A,mapped,live,,,,true,
400500,R.A,mapped,live,,,,true,
400510,R.A,mapped,live,,,,true,
400520,R.A,mapped,live,,,,true,
400530,R.A,mapped,live,,,,true,
400540,R.A,mapped,live,,,,true,
400550,R.A,mapped,live,,,,true,
400560,R.B,mapped,live,,,,true,
400570,R.B,mapped,live,,,,true,
400580,R.B,mapped,live,,,,true,
400590,R.B,mapped,live,,,,true,
400600,R.B,mapped,live,,,,true,
400610,R.B,mapped,live,,,,true,
400620,R.B,mapped,live,,,,true,
400630,R.B,mapped,live,,,,true,
400640,R.B,mapped,live,,,,true,
400650,R.B,mapped,live,,,,true,
400660,R.B,mapped,live,,,,true,
400670,R.B,mapped,live,,,,true,
400680,R.B,mapped,live,,,,true,
400690,R.B,mapped,live,,,,true,
400700,R.B,mapped,live,,,,true,
400710,R.B,mapped,live,,,,true,
400720,R.B,mapped,live,,,,true,
400730,R.B,mapped,live,,,,true,
400740,R.B,mapped,live,,,,true,
400750,R.B,mapped,live,,,,true,
400760,R.B,mapped,live,,,,true,
400770,R.B,mapped,live,,,,true,
400780,R.B,mapped,live,,,,true,
400790,R.B,mapped,live,,,,true,
500000,X.A,mapped,live,,,,true,
500010,X.A,mapped,live,,,,true,
500020,X.A,mapped,live,,,,true,
500030,X.A,mapped,live,,,,true,
500040,X.A,mapped,live,,,,true,
500050,X.A,mapped,live,,,,true,
500060,X.A,mapped,live,,,,true,
500070,X.A,mapped,live,,,,true,
500080,X.A,mapped,live,,,,true,
500090,X.A,mapped,live,,,,true,
500100,X.A,mapped,live,,,,true,
500110,X.A,mapped,live,,,,true,
500120,X.A,mapped,live,,,,true,
500130,X.A,mapped,live,,,,true,
500140,X.A,mapped,live,,,,true,
500150,X.A,mapped,live,,,,true,
500160,X.A,mapped,live,,,,true,
500170,X.A,mapped,live,,,,true,
500180,X.A,mapped,live,,,,true,
500190,X.A,mapped,live,,,,true,
500200,X.B,mapped,live,,,,true,
500210,X.B,mapped,live,,,,true,
500220,X.B,mapped,live,,,,true,
500230,X.B,mapped,live,,,,true,
500240,X.B,mapped,live,,,,true,
500250,X.B,mapped,live,,,,true,
500260,X.B,mapped,live,,,,true,
500270,X.B,mapped,live,,,,true,
500280,X.B,mapped,live,,,,true,
500290,X.B,mapped,live,,,,true,
500300,X.B,mapped,live,,,,true,
500310,X.B,mapped,live,,,,true,
500320,X.B,mapped,live,,,,true,
500330,X.B,mapped,live,,,,true,
500340,X.B,mapped,live,,,,true,
500350,X.B,mapped,live,,,,true,
500360,X.B,mapped,live,,,,true,
500370,X.B,mapped,live,,,,true,
500380,X.B,mapped,live,,,,true,
500390,X.B,mapped,live,,,,true,
500400,X.B,mapped,live,,,,true,
500410,X.B,mapped,live,,,,true,
500420,X.B,mapped,live,,,,true,
500430,X.B,mapped,live,,,,true,
500440,X.B,mapped,live,,,,true,
500450,X.B,mapped,live,,,,true,
500460,X.B,mapped,live,,,,true,
500470,X.B,mapped,live,,,,true,
500480,X.B,mapped,live,,,,true,
500490,X.B,mapped,live,,,,true,
500500,X.B,mapped,live,,,,true,
500510,X.B,mapped,live,,,,true,
500520,X.B,mapped,live,,,,true,
500530,X.B,mapped,live,,,,true,
500540,X.B,mapped,live,,,,true,
500550,X.B,mapped,live,,,,true,
500560,X.B,mapped,live,,,,true,
500570,X.B,mapped,live,,,,true,
500580,X.B,mapped,live,,,,true,
500590,X.B,mapped,live,,,,true,
500600,X.B,mapped,live,,,,true,
500610,X.B,mapped,live,,,,true,
500620,X.B,mapped,live,,,,true,
500630,X.B,mapped,live,,,,true,
500640,X.B,mapped,live,,,,true,
500650,X.B,mapped,live,,,,true,
500660,X.B,mapped,live,,,,true,
500670,X.B,mapped,live,,,,true,
500680,X.B,mapped,live,,,,true,
500690,X.B,mapped,live,,,,true,
500700,X.B,mapped,live,,,,true,
500710,X.B,mapped,live,,,,true,
500720,X.B,mapped,live,,,,true,
500730,X.B,mapped,live,,,,true,
500740,X.B,mapped,live,,,,true,
500750,X.D,mapped,live,,,,true,
500760,X.D,mapped,live,,,,true,
500770,X.D,mapped,live,,,,true,
500780,X.D,mapped,live,,,,true,
500790,X.D,mapped,live,,,,true,
500800,X.D,mapped,live,,,,true,
500810,X.D,mapped,live,,,,true,
500820,X.D,mapped,live,,,,true,
500830,X.D,mapped,live,,,,true,
500840,X.D,mapped,live,,,,true,
500850,X.E,mapped,live,,,,true,
500860,X.E,mapped,live,,,,true,
500870,X.E,mapped,live,,,,true,
500880,X.E,mapped,live,,,,true,
500890,X.E,mapped,live,,,,true,
500900,X.F,mapped,live,,,,true,
500910,X.F,mapped,live,,,,true,
500920,X.F,mapped,live,,,,true,
500930,X.F,mapped,live,,,,true,
500940,X.F,mapped,live,,,,true,
500950,X.G,mapped,live,,,,true,
500960,X.G,mapped,live,,,,true,
500970,X.G,mapped,live,,,,true,
500980,X.G,mapped,live,,,,true,
500990,X.G,mapped,live,,,,true,
999999,999999,catch_all,live,,,,true,
